Gene	Gene description	Evidence
JAK3	Janus kinase 3	Evidence at protein level
JAKMIP2	Janus kinase and microtubule interacting protein 2	Evidence at protein level
JAM2	Junctional adhesion molecule 2	Evidence at protein level
JAML	Junction adhesion molecule like	Evidence at protein level
JCAD	Junctional cadherin 5 associated	Evidence at protein level
JCHAIN	Joining chain of multimeric IgA and IgM	Evidence at protein level
JHY	Junctional cadherin complex regulator	Evidence at protein level
JPH1	Junctophilin 1	Evidence at protein level
JPH2	Junctophilin 2	Evidence at protein level
JPH4	Junctophilin 4	Evidence at protein level
KALRN	Kalirin RhoGEF kinase	Evidence at protein level
KANK3	KN motif and ankyrin repeat domains 3	Evidence at protein level
KANK4	KN motif and ankyrin repeat domains 4	Evidence at protein level
KANSL1	KAT8 regulatory NSL complex subunit 1	Evidence at protein level
KATNAL2	Katanin catalytic subunit A1 like 2	Evidence at protein level
KAZALD1	Kazal type serine peptidase inhibitor domain 1	Evidence at protein level
KAZN	"Kazrin, periplakin interacting protein"	Evidence at protein level
KBTBD11	Kelch repeat and BTB domain containing 11	Evidence at protein level
KBTBD3	Kelch repeat and BTB domain containing 3	Evidence at protein level
KBTBD8	Kelch repeat and BTB domain containing 8	Evidence at protein level
KCNA5	Potassium voltage-gated channel subfamily A member 5	Evidence at protein level
KCNAB3	Potassium voltage-gated channel subfamily A regulatory beta subunit 3	Evidence at protein level
KCNB1	Potassium voltage-gated channel subfamily B member 1	Evidence at protein level
KCNC3	Potassium voltage-gated channel subfamily C member 3	Evidence at protein level
KCNC4	Potassium voltage-gated channel subfamily C member 4	Evidence at protein level
KCND1	Potassium voltage-gated channel subfamily D member 1	Evidence at protein level
KCND2	Potassium voltage-gated channel subfamily D member 2	Evidence at protein level
KCND3	Potassium voltage-gated channel subfamily D member 3	Evidence at protein level
KCNE4	Potassium voltage-gated channel subfamily E regulatory subunit 4	Evidence at protein level
KCNG1	Potassium voltage-gated channel modifier subfamily G member 1	Evidence at protein level
KCNH2	Potassium voltage-gated channel subfamily H member 2	Evidence at protein level
KCNH3	Potassium voltage-gated channel subfamily H member 3	Evidence at protein level
KCNIP1	Potassium voltage-gated channel interacting protein 1	Evidence at protein level
KCNIP2	Potassium voltage-gated channel interacting protein 2	Evidence at protein level
KCNIP3	Potassium voltage-gated channel interacting protein 3	Evidence at protein level
KCNIP4	Potassium voltage-gated channel interacting protein 4	Evidence at protein level
KCNJ11	Potassium inwardly rectifying channel subfamily J member 11	Evidence at protein level
KCNJ12	Potassium inwardly rectifying channel subfamily J member 12	Evidence at protein level
KCNJ16	Potassium inwardly rectifying channel subfamily J member 16	Evidence at protein level
KCNJ2	Potassium inwardly rectifying channel subfamily J member 2	Evidence at protein level
KCNJ3	Potassium inwardly rectifying channel subfamily J member 3	Evidence at protein level
KCNJ5	Potassium inwardly rectifying channel subfamily J member 5	Evidence at protein level
KCNJ8	Potassium inwardly rectifying channel subfamily J member 8	Evidence at protein level
KCNK1	Potassium two pore domain channel subfamily K member 1	Evidence at protein level
KCNK15	Potassium two pore domain channel subfamily K member 15	Evidence at protein level
KCNK2	Potassium two pore domain channel subfamily K member 2	Evidence at protein level
KCNK3	Potassium two pore domain channel subfamily K member 3	Evidence at protein level
KCNK6	Potassium two pore domain channel subfamily K member 6	Evidence at protein level
KCNK7	Potassium two pore domain channel subfamily K member 7	Evidence at protein level
KCNMA1	Potassium calcium-activated channel subfamily M alpha 1	Evidence at protein level
KCNMB1	Potassium calcium-activated channel subfamily M regulatory beta subunit 1	Evidence at protein level
KCNMB2	Potassium calcium-activated channel subfamily M regulatory beta subunit 2	Evidence at protein level
KCNMB3	Potassium calcium-activated channel subfamily M regulatory beta subunit 3	Evidence at protein level
KCNMB4	Potassium calcium-activated channel subfamily M regulatory beta subunit 4	Evidence at protein level
KCNN2	Potassium calcium-activated channel subfamily N member 2	Evidence at protein level
KCNN3	Potassium calcium-activated channel subfamily N member 3	Evidence at protein level
KCNN4	Potassium calcium-activated channel subfamily N member 4	Evidence at protein level
KCNQ1	Potassium voltage-gated channel subfamily Q member 1	Evidence at protein level
KCNQ4	Potassium voltage-gated channel subfamily Q member 4	Evidence at protein level
KCNS3	Potassium voltage-gated channel modifier subfamily S member 3	Evidence at protein level
KCTD1	Potassium channel tetramerization domain containing 1	Evidence at protein level
KCTD14	Potassium channel tetramerization domain containing 14	Evidence at protein level
KCTD2	Potassium channel tetramerization domain containing 2	Evidence at protein level
KCTD8	Potassium channel tetramerization domain containing 8	Evidence at protein level
KDF1	Keratinocyte differentiation factor 1	Evidence at protein level
KDM5B	Lysine demethylase 5B	Evidence at protein level
KDM5D	Lysine demethylase 5D	Evidence at protein level
KDM7A	Lysine demethylase 7A	Evidence at protein level
KDR	Kinase insert domain receptor	Evidence at protein level
KHDC1	KH domain containing 1	Evidence at protein level
KHK	Ketohexokinase	Evidence at protein level
KIAA0408	KIAA0408	Evidence at protein level
KIAA0825	KIAA0825	Evidence at protein level
KIAA1217	KIAA1217	Evidence at protein level
KIAA1549	KIAA1549	Evidence at protein level
KIAA1614	KIAA1614	Evidence at protein level
KIAA1671	KIAA1671	Evidence at protein level
KIAA1755	KIAA1755	Evidence at protein level
KIAA1958	KIAA1958	Evidence at protein level
KIF11	Kinesin family member 11	Evidence at protein level
KIF12	Kinesin family member 12	Evidence at protein level
KIF19	Kinesin family member 19	Evidence at protein level
KIF1A	Kinesin family member 1A	Evidence at protein level
KIF21A	Kinesin family member 21A	Evidence at protein level
KIF21B	Kinesin family member 21B	Evidence at protein level
KIF26A	Kinesin family member 26A	Evidence at protein level
KIF3C	Kinesin family member 3C	Evidence at protein level
KIF5A	Kinesin family member 5A	Evidence at protein level
KIF5C	Kinesin family member 5C	Evidence at protein level
KIF7	Kinesin family member 7	Evidence at protein level
KIRREL1	Kirre like nephrin family adhesion molecule 1	Evidence at protein level
KIT	"KIT proto-oncogene, receptor tyrosine kinase"	Evidence at protein level
KITLG	KIT ligand	Evidence at protein level
KL	Klotho	Evidence at protein level
KLC3	Kinesin light chain 3	Evidence at protein level
KLF12	KLF transcription factor 12	Evidence at protein level
KLF15	KLF transcription factor 15	Evidence at protein level
KLF16	KLF transcription factor 16	Evidence at protein level
KLF2	KLF transcription factor 2	Evidence at protein level
KLF4	KLF transcription factor 4	Evidence at protein level
KLF5	KLF transcription factor 5	Evidence at protein level
KLF8	KLF transcription factor 8	Evidence at protein level
KLHDC8A	Kelch domain containing 8A	Evidence at protein level
KLHDC9	Kelch domain containing 9	Evidence at protein level
KLHL11	Kelch like family member 11	Evidence at protein level
KLHL13	Kelch like family member 13	Evidence at protein level
KLHL17	Kelch like family member 17	Evidence at protein level
KLHL25	Kelch like family member 25	Evidence at protein level
KLHL29	Kelch like family member 29	Evidence at protein level
KLHL3	Kelch like family member 3	Evidence at protein level
KLHL4	Kelch like family member 4	Evidence at protein level
KLHL41	Kelch like family member 41	Evidence at protein level
KLHL6	Kelch like family member 6	Evidence at protein level
KLK10	Kallikrein related peptidase 10	Evidence at protein level
KLK6	Kallikrein related peptidase 6	Evidence at protein level
KLK7	Kallikrein related peptidase 7	Evidence at protein level
KLK8	Kallikrein related peptidase 8	Evidence at protein level
KLKB1	Kallikrein B1	Evidence at protein level
KLRB1	Killer cell lectin like receptor B1	Evidence at protein level
KLRC1	Killer cell lectin like receptor C1	Evidence at protein level
KLRG1	Killer cell lectin like receptor G1	Evidence at protein level
KLRK1	Killer cell lectin like receptor K1	Evidence at protein level
KMT5C	Lysine methyltransferase 5C	Evidence at protein level
KNDC1	Kinase non-catalytic C-lobe domain containing 1	Evidence at protein level
KRBA2	KRAB-A domain containing 2	Evidence at protein level
KRBOX1	KRAB box domain containing 1	Evidence at protein level
KRT1	Keratin 1	Evidence at protein level
KRT13	Keratin 13	Evidence at protein level
KRT14	Keratin 14	Evidence at protein level
KRT17	Keratin 17	Evidence at protein level
KRT18	Keratin 18	Evidence at protein level
KRT19	Keratin 19	Evidence at protein level
KRT2	Keratin 2	Evidence at protein level
KRT4	Keratin 4	Evidence at protein level
KRT5	Keratin 5	Evidence at protein level
KRT6A	Keratin 6A	Evidence at protein level
KRT8	Keratin 8	Evidence at protein level
KRTCAP3	Keratinocyte associated protein 3	Evidence at protein level
KRTDAP	Keratinocyte differentiation associated protein	Evidence at protein level
KY	Kyphoscoliosis peptidase	Evidence at protein level
KYNU	Kynureninase	Evidence at protein level
L1CAM	L1 cell adhesion molecule	Evidence at protein level
L3MBTL1	L3MBTL histone methyl-lysine binding protein 1	Evidence at protein level
L3MBTL4	L3MBTL histone methyl-lysine binding protein 4	Evidence at protein level
LACC1	Laccase domain containing 1	Evidence at protein level
LAIR1	Leukocyte associated immunoglobulin like receptor 1	Evidence at protein level
LAMA2	Laminin subunit alpha 2	Evidence at protein level
LAMA3	Laminin subunit alpha 3	Evidence at protein level
LAMA4	Laminin subunit alpha 4	Evidence at protein level
LAMA5	Laminin subunit alpha 5	Evidence at protein level
LAMB1	Laminin subunit beta 1	Evidence at protein level
LAMB3	Laminin subunit beta 3	Evidence at protein level
LAMC2	Laminin subunit gamma 2	Evidence at protein level
LAMC3	Laminin subunit gamma 3	Evidence at protein level
LAMP5	Lysosomal associated membrane protein family member 5	Evidence at protein level
LARGE1	LARGE xylosyl- and glucuronyltransferase 1	Evidence at protein level
LARP6	"La ribonucleoprotein 6, translational regulator"	Evidence at protein level
LAYN	Layilin	Evidence at protein level
LBHD1	LBH domain containing 1	Evidence at protein level
LCA5L	Lebercilin LCA5 like	Evidence at protein level
LCN2	Lipocalin 2	Evidence at protein level
LCN6	Lipocalin 6	Evidence at protein level
LCP2	Lymphocyte cytosolic protein 2	Evidence at protein level
LDB2	LIM domain binding 2	Evidence at protein level
LDB3	LIM domain binding 3	Evidence at protein level
LDHD	Lactate dehydrogenase D	Evidence at protein level
LDLRAD2	Low density lipoprotein receptor class A domain containing 2	Evidence at protein level
LDLRAD4	Low density lipoprotein receptor class A domain containing 4	Evidence at protein level
LDOC1	LDOC1 regulator of NFKB signaling	Evidence at protein level
LEAP2	Liver enriched antimicrobial peptide 2	Evidence at protein level
LEF1	Lymphoid enhancer binding factor 1	Evidence at protein level
LEFTY1	Left-right determination factor 1	Evidence at protein level
LENG1	Leukocyte receptor cluster member 1	Evidence at protein level
LENG9	Leukocyte receptor cluster member 9	Evidence at protein level
LETM2	Leucine zipper and EF-hand containing transmembrane protein 2	Evidence at protein level
LGALS4	Galectin 4	Evidence at protein level
LGALS7B	Galectin 7B	Evidence at protein level
LGI2	Leucine rich repeat LGI family member 2	Evidence at protein level
LGI3	Leucine rich repeat LGI family member 3	Evidence at protein level
LGI4	Leucine rich repeat LGI family member 4	Evidence at protein level
LGR5	Leucine rich repeat containing G protein-coupled receptor 5	Evidence at protein level
LGR6	Leucine rich repeat containing G protein-coupled receptor 6	Evidence at protein level
LHB	Luteinizing hormone subunit beta	Evidence at protein level
LHFPL5	LHFPL tetraspan subfamily member 5	Evidence at protein level
LHX6	LIM homeobox 6	Evidence at protein level
LIF	LIF interleukin 6 family cytokine	Evidence at protein level
LIFR	LIF receptor subunit alpha	Evidence at protein level
LIG1	DNA ligase 1	Evidence at protein level
LILRA2	Leukocyte immunoglobulin like receptor A2	Evidence at protein level
LILRB1	Leukocyte immunoglobulin like receptor B1	Evidence at transcript level
LILRB2	Leukocyte immunoglobulin like receptor B2	Evidence at protein level
LILRB3	Leukocyte immunoglobulin like receptor B3	Evidence at protein level
LILRB4	Leukocyte immunoglobulin like receptor B4	Evidence at protein level
LIMCH1	LIM and calponin homology domains 1	Evidence at protein level
LIME1	Lck interacting transmembrane adaptor 1	Evidence at protein level
LIMS2	LIM zinc finger domain containing 2	Evidence at protein level
LIN54	Lin-54 DREAM MuvB core complex component	Evidence at protein level
LIN7A	"Lin-7 homolog A, crumbs cell polarity complex component"	Evidence at protein level
LIN9	Lin-9 DREAM MuvB core complex component	Evidence at protein level
LINC00672	Long intergenic non-protein coding RNA 672	Evidence at transcript level
LINGO1	Leucine rich repeat and Ig domain containing 1	Evidence at protein level
LIPF	"Lipase F, gastric type"	Evidence at protein level
LIPG	"Lipase G, endothelial type"	Evidence at protein level
LIPT2	Lipoyl(octanoyl) transferase 2	Evidence at protein level
LLGL2	LLGL scribble cell polarity complex component 2	Evidence at protein level
LMCD1	LIM and cysteine rich domains 1	Evidence at protein level
LMNB1	Lamin B1	Evidence at protein level
LMNTD2	Lamin tail domain containing 2	Evidence at protein level
LMO1	LIM domain only 1	Evidence at protein level
LMO2	LIM domain only 2	Evidence at protein level
LMO3	LIM domain only 3	Evidence at protein level
LMOD1	Leiomodin 1	Evidence at protein level
LMTK3	Lemur tyrosine kinase 3	Evidence at protein level
LNP1	Leukemia NUP98 fusion partner 1	Evidence at protein level
LNX1	Ligand of numb-protein X 1	Evidence at protein level
LONRF2	LON peptidase N-terminal domain and ring finger 2	Evidence at protein level
LONRF3	LON peptidase N-terminal domain and ring finger 3	Evidence at protein level
LOX	Lysyl oxidase	Evidence at protein level
LOXL1	Lysyl oxidase like 1	Evidence at protein level
LOXL2	Lysyl oxidase like 2	Evidence at protein level
LPAR1	Lysophosphatidic acid receptor 1	Evidence at protein level
LPAR3	Lysophosphatidic acid receptor 3	Evidence at protein level
LPAR5	Lysophosphatidic acid receptor 5	Evidence at protein level
LPCAT1	Lysophosphatidylcholine acyltransferase 1	Evidence at protein level
LPCAT2	Lysophosphatidylcholine acyltransferase 2	Evidence at protein level
LPIN3	Lipin 3	Evidence at protein level
LPL	Lipoprotein lipase	Evidence at protein level
LRATD1	LRAT domain containing 1	Evidence at protein level
LRCH2	Leucine rich repeats and calponin homology domain containing 2	Evidence at protein level
LRFN1	Leucine rich repeat and fibronectin type III domain containing 1	Evidence at protein level
LRFN3	Leucine rich repeat and fibronectin type III domain containing 3	Evidence at protein level
LRFN4	Leucine rich repeat and fibronectin type III domain containing 4	Evidence at protein level
LRFN5	Leucine rich repeat and fibronectin type III domain containing 5	Evidence at protein level
LRIG3	Leucine rich repeats and immunoglobulin like domains 3	Evidence at protein level
LRP1B	LDL receptor related protein 1B	Evidence at protein level
LRP2BP	LRP2 binding protein	Evidence at protein level
LRP4	LDL receptor related protein 4	Evidence at protein level
LRP6	LDL receptor related protein 6	Evidence at protein level
LRP8	LDL receptor related protein 8	Evidence at protein level
LRRC1	Leucine rich repeat containing 1	Evidence at protein level
LRRC10B	Leucine rich repeat containing 10B	Evidence at protein level
LRRC17	Leucine rich repeat containing 17	Evidence at protein level
LRRC2	Leucine rich repeat containing 2	Evidence at protein level
LRRC24	Leucine rich repeat containing 24	Evidence at protein level
LRRC25	Leucine rich repeat containing 25	Evidence at protein level
LRRC37A	Leucine rich repeat containing 37A	Evidence at protein level
LRRC37A3	Leucine rich repeat containing 37 member A3	Evidence at protein level
LRRC39	Leucine rich repeat containing 39	Evidence at protein level
LRRC4	Leucine rich repeat containing 4	Evidence at protein level
LRRC43	Leucine rich repeat containing 43	Evidence at protein level
LRRC45	Leucine rich repeat containing 45	Evidence at protein level
LRRC49	Leucine rich repeat containing 49	Evidence at protein level
LRRC4B	Leucine rich repeat containing 4B	Evidence at protein level
LRRC4C	Leucine rich repeat containing 4C	Evidence at protein level
LRRC56	Leucine rich repeat containing 56	Evidence at protein level
LRRC73	Leucine rich repeat containing 73	Evidence at protein level
LRRC75A	Leucine rich repeat containing 75A	Evidence at protein level
LRRC75B	Leucine rich repeat containing 75B	Evidence at transcript level
LRRCC1	Leucine rich repeat and coiled-coil centrosomal protein 1	Evidence at protein level
LRRIQ1	Leucine rich repeats and IQ motif containing 1	Evidence at protein level
LRRK1	Leucine rich repeat kinase 1	Evidence at protein level
LRRK2	Leucine rich repeat kinase 2	Evidence at protein level
LRRN1	Leucine rich repeat neuronal 1	Evidence at protein level
LRRN2	Leucine rich repeat neuronal 2	Evidence at protein level
LRRN3	Leucine rich repeat neuronal 3	Evidence at protein level
LSAMP	Limbic system associated membrane protein	Evidence at protein level
LSM11	"LSM11, U7 small nuclear RNA associated"	Evidence at protein level
LSMEM1	Leucine rich single-pass membrane protein 1	Evidence at protein level
LSP1	Lymphocyte specific protein 1	Evidence at protein level
LST1	Leukocyte specific transcript 1	Evidence at protein level
LTB4R	Leukotriene B4 receptor	Evidence at protein level
LTB4R2	Leukotriene B4 receptor 2	Evidence at protein level
LTBP1	Latent transforming growth factor beta binding protein 1	Evidence at protein level
LTBP2	Latent transforming growth factor beta binding protein 2	Evidence at protein level
LTC4S	Leukotriene C4 synthase	Evidence at protein level
LTF	Lactotransferrin	Evidence at protein level
LTK	Leukocyte receptor tyrosine kinase	Evidence at protein level
LUM	Lumican	Evidence at protein level
LURAP1	Leucine rich adaptor protein 1	Evidence at protein level
LURAP1L	Leucine rich adaptor protein 1 like	Evidence at protein level
LUZP1	Leucine zipper protein 1	Evidence at protein level
LY6D	Lymphocyte antigen 6 family member D	Evidence at protein level
LY6G6C	Lymphocyte antigen 6 family member G6C	Evidence at protein level
LY6H	Lymphocyte antigen 6 family member H	Evidence at protein level
LY6K	Lymphocyte antigen 6 family member K	Evidence at protein level
LY75	Lymphocyte antigen 75	Evidence at protein level
LY86	Lymphocyte antigen 86	Evidence at protein level
LYG1	Lysozyme g1	Evidence at protein level
LYL1	LYL1 basic helix-loop-helix family member	Evidence at protein level
LYNX1	Ly6/neurotoxin 1	Evidence at protein level
LYNX1-SLURP2	LYNX1-SLURP2 readthrough	Evidence at transcript level
LYPD1	LY6/PLAUR domain containing 1	Evidence at protein level
LYPD3	LY6/PLAUR domain containing 3	Evidence at protein level
LYPD5	LY6/PLAUR domain containing 5	Evidence at protein level
LYPD6	LY6/PLAUR domain containing 6	Evidence at protein level
LYPD6B	LY6/PLAUR domain containing 6B	Evidence at protein level
LYVE1	Lymphatic vessel endothelial hyaluronan receptor 1	Evidence at protein level
LZTFL1	Leucine zipper transcription factor like 1	Evidence at protein level
LZTS1	Leucine zipper tumor suppressor 1	Evidence at protein level
MAB21L2	Mab-21 like 2	Evidence at protein level
MAB21L3	Mab-21 like 3	Evidence at protein level
MACROD1	Mono-ADP ribosylhydrolase 1	Evidence at protein level
MACROD2	Mono-ADP ribosylhydrolase 2	Evidence at protein level
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	Evidence at protein level
MAFB	MAF bZIP transcription factor B	Evidence at protein level
MAGED4	MAGE family member D4	Evidence at protein level
MAGED4B	MAGE family member D4B	Evidence at protein level
MAGEE1	MAGE family member E1	Evidence at protein level
MAGI1	"Membrane associated guanylate kinase, WW and PDZ domain containing 1"	Evidence at protein level
MAGI2	"Membrane associated guanylate kinase, WW and PDZ domain containing 2"	Evidence at protein level
MAGI3	"Membrane associated guanylate kinase, WW and PDZ domain containing 3"	Evidence at protein level
MAGIX	"MAGI family member, X-linked"	Evidence at protein level
MAL	"Mal, T cell differentiation protein"	Evidence at protein level
MAL2	"Mal, T cell differentiation protein 2"	Evidence at protein level
MALL	"Mal, T cell differentiation protein like"	Evidence at protein level
MAMDC4	MAM domain containing 4	Evidence at protein level
MAML1	Mastermind like transcriptional coactivator 1	Evidence at protein level
MAML3	Mastermind like transcriptional coactivator 3	Evidence at protein level
MAMLD1	Mastermind like domain containing 1	Evidence at protein level
MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator	Evidence at protein level
MAN2A1	Mannosidase alpha class 2A member 1	Evidence at protein level
MANBA	Mannosidase beta	Evidence at protein level
MANEAL	Mannosidase endo-alpha like	Evidence at protein level
MAOA	Monoamine oxidase A	Evidence at protein level
MAOB	Monoamine oxidase B	Evidence at protein level
MAP10	Microtubule associated protein 10	Evidence at protein level
MAP1A	Microtubule associated protein 1A	Evidence at protein level
MAP1B	Microtubule associated protein 1B	Evidence at protein level
MAP1LC3B2	Microtubule associated protein 1 light chain 3 beta 2	Evidence at protein level
MAP2	Microtubule associated protein 2	Evidence at protein level
MAP2K6	Mitogen-activated protein kinase kinase 6	Evidence at protein level
MAP3K10	Mitogen-activated protein kinase kinase kinase 10	Evidence at protein level
MAP3K21	Mitogen-activated protein kinase kinase kinase 21	Evidence at protein level
MAP3K6	Mitogen-activated protein kinase kinase kinase 6	Evidence at protein level
MAP3K9	Mitogen-activated protein kinase kinase kinase 9	Evidence at protein level
MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1	Evidence at protein level
MAP6	Microtubule associated protein 6	Evidence at protein level
MAP6D1	MAP6 domain containing 1	Evidence at protein level
MAP7	Microtubule associated protein 7	Evidence at protein level
MAP7D2	MAP7 domain containing 2	Evidence at protein level
MAP9	Microtubule associated protein 9	Evidence at protein level
MAPK13	Mitogen-activated protein kinase 13	Evidence at protein level
MAPK15	Mitogen-activated protein kinase 15	Evidence at protein level
MAPK4	Mitogen-activated protein kinase 4	Evidence at protein level
MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2	Evidence at protein level
MAPT	Microtubule associated protein tau	Evidence at protein level
MARCHF1	Membrane associated ring-CH-type finger 1	Evidence at protein level
MARCHF3	Membrane associated ring-CH-type finger 3	Evidence at protein level
MARCO	Macrophage receptor with collagenous structure	Evidence at protein level
MARK1	Microtubule affinity regulating kinase 1	Evidence at protein level
MARS2	"Methionyl-tRNA synthetase 2, mitochondrial"	Evidence at protein level
MARVELD3	MARVEL domain containing 3	Evidence at protein level
MASP1	MBL associated serine protease 1	Evidence at protein level
MASP2	MBL associated serine protease 2	Evidence at protein level
MATK	Megakaryocyte-associated tyrosine kinase	Evidence at protein level
MATN3	Matrilin 3	Evidence at protein level
MB	Myoglobin	Evidence at protein level
MBLAC1	Metallo-beta-lactamase domain containing 1	Evidence at protein level
MBNL3	Muscleblind like splicing regulator 3	Evidence at protein level
MBOAT2	Membrane bound O-acyltransferase domain containing 2	Evidence at protein level
MC1R	Melanocortin 1 receptor	Evidence at protein level
MCC	MCC regulator of WNT signaling pathway	Evidence at protein level
MCF2	MCF.2 cell line derived transforming sequence	Evidence at protein level
MCF2L	MCF.2 cell line derived transforming sequence like	Evidence at protein level
MCM4	Minichromosome maintenance complex component 4	Evidence at protein level
MCMDC2	Minichromosome maintenance domain containing 2	Evidence at protein level
MCRIP2	MAPK regulated corepressor interacting protein 2	Evidence at protein level
MCTP2	Multiple C2 and transmembrane domain containing 2	Evidence at protein level
MCTS2	MCTS family member 2	Evidence at transcript level
MDFI	MyoD family inhibitor	Evidence at protein level
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	Evidence at protein level
MDH1B	Malate dehydrogenase 1B	Evidence at protein level
MDN1	Midasin AAA ATPase 1	Evidence at protein level
ME1	Malic enzyme 1	Evidence at protein level
MECOM	MDS1 and EVI1 complex locus	Evidence at protein level
MED17	Mediator complex subunit 17	Evidence at protein level
MEDAG	Mesenteric estrogen dependent adipogenesis	Evidence at protein level
MEF2B	Myocyte enhancer factor 2B	Evidence at protein level
MEGF6	Multiple EGF like domains 6	Evidence at protein level
MEI1	Meiotic double-stranded break formation protein 1	Evidence at protein level
MEIS2	Meis homeobox 2	Evidence at protein level
MEIS3	Meis homeobox 3	Evidence at protein level
MELTF	Melanotransferrin	Evidence at protein level
MESP1	Mesoderm posterior bHLH transcription factor 1	Evidence at protein level
MET	"MET proto-oncogene, receptor tyrosine kinase"	Evidence at protein level
METTL24	Methyltransferase like 24	Evidence at transcript level
METTL27	Methyltransferase like 27	Evidence at protein level
METTL7B	Methyltransferase like 7B	Evidence at protein level
MEX3B	Mex-3 RNA binding family member B	Evidence at protein level
MEX3D	Mex-3 RNA binding family member D	Evidence at protein level
MFAP3L	Microfibril associated protein 3 like	Evidence at protein level
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Evidence at protein level
MFSD13A	Major facilitator superfamily domain containing 13A	Evidence at protein level
MFSD2A	Major facilitator superfamily domain containing 2A	Evidence at protein level
MFSD4A	Major facilitator superfamily domain containing 4A	Evidence at protein level
MGA	MAX dimerization protein MGA	Evidence at protein level
MGARP	Mitochondria localized glutamic acid rich protein	Evidence at protein level
MGAT3	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"	Evidence at protein level
MGST1	Microsomal glutathione S-transferase 1	Evidence at protein level
MIA	MIA SH3 domain containing	Evidence at protein level
MIB2	MIB E3 ubiquitin protein ligase 2	Evidence at protein level
MICA	MHC class I polypeptide-related sequence A	Evidence at transcript level
MICALL1	MICAL like 1	Evidence at protein level
MICALL2	MICAL like 2	Evidence at protein level
MICB	MHC class I polypeptide-related sequence B	Evidence at protein level
MICU3	Mitochondrial calcium uptake family member 3	Evidence at protein level
MID1	Midline 1	Evidence at protein level
MID2	Midline 2	Evidence at protein level
MIDEAS	Mitotic deacetylase associated SANT domain protein	Evidence at protein level
MILR1	Mast cell immunoglobulin like receptor 1	Evidence at protein level
MIPOL1	Mirror-image polydactyly 1	Evidence at protein level
MIS18BP1	MIS18 binding protein 1	Evidence at protein level
MISP3	MISP family member 3	Evidence at protein level
MKKS	MKKS centrosomal shuttling protein	Evidence at transcript level
MKRN2OS	MKRN2 opposite strand	Evidence at protein level
MKRN3	Makorin ring finger protein 3	Evidence at protein level
MKX	Mohawk homeobox	Evidence at protein level
MLC1	Modulator of VRAC current 1	Evidence at protein level
MLIP	Muscular LMNA interacting protein	Evidence at protein level
MLKL	Mixed lineage kinase domain like pseudokinase	Evidence at protein level
MLLT11	MLLT11 transcription factor 7 cofactor	Evidence at protein level
MLLT6	"MLLT6, PHD finger containing"	Evidence at protein level
MLPH	Melanophilin	Evidence at protein level
MLXIPL	MLX interacting protein like	Evidence at protein level
MLYCD	Malonyl-CoA decarboxylase	Evidence at protein level
MME	Membrane metalloendopeptidase	Evidence at protein level
MMEL1	Membrane metalloendopeptidase like 1	Evidence at protein level
MMP15	Matrix metallopeptidase 15	Evidence at protein level
MMP17	Matrix metallopeptidase 17	Evidence at protein level
MMP23B	Matrix metallopeptidase 23B	Evidence at protein level
MMP24	Matrix metallopeptidase 24	Evidence at protein level
MMP28	Matrix metallopeptidase 28	Evidence at protein level
MMP9	Matrix metallopeptidase 9	Evidence at protein level
MMS22L	"MMS22 like, DNA repair protein"	Evidence at protein level
MN1	"MN1 proto-oncogene, transcriptional regulator"	Evidence at protein level
MND1	Meiotic nuclear divisions 1	Evidence at protein level
MNS1	Meiosis specific nuclear structural 1	Evidence at protein level
MOB2	MOB kinase activator 2	Evidence at protein level
MOB3B	MOB kinase activator 3B	Evidence at protein level
MOCS1	Molybdenum cofactor synthesis 1	Evidence at protein level
MOK	MOK protein kinase	Evidence at protein level
MORC3	MORC family CW-type zinc finger 3	Evidence at protein level
MORN1	MORN repeat containing 1	Evidence at protein level
MORN5	MORN repeat containing 5	Evidence at protein level
MOV10L1	Mov10 like RISC complex RNA helicase 1	Evidence at protein level
MOXD1	Monooxygenase DBH like 1	Evidence at protein level
MPDZ	Multiple PDZ domain crumbs cell polarity complex component	Evidence at protein level
MPEG1	Macrophage expressed 1	Evidence at protein level
MPP2	MAGUK p55 scaffold protein 2	Evidence at protein level
MPP3	MAGUK p55 scaffold protein 3	Evidence at protein level
MPP7	MAGUK p55 scaffold protein 7	Evidence at protein level
MPPED2	Metallophosphoesterase domain containing 2	Evidence at protein level
MPST	Mercaptopyruvate sulfurtransferase	Evidence at protein level
MPV17L	MPV17 mitochondrial inner membrane protein like	Evidence at protein level
MPZ	Myelin protein zero	Evidence at protein level
MPZL2	Myelin protein zero like 2	Evidence at protein level
MPZL3	Myelin protein zero like 3	Evidence at protein level
MRAP2	Melanocortin 2 receptor accessory protein 2	Evidence at protein level
MRC1	Mannose receptor C-type 1	Evidence at protein level
MRC2	Mannose receptor C type 2	Evidence at protein level
MREG	Melanoregulin	Evidence at protein level
MRGPRF	MAS related GPR family member F	Evidence at protein level
MRLN	Myoregulin	Evidence at transcript level
